twitter,last_name,party,DoF,trump_margin
REPRONWRIGHT,Wright,Republican,4.523561956057013,12.300000000000004
REPFLETCHER,Fletcher,Democrat,-1,-1.3999999999999986
REPKEVINBRADY,Brady,Republican,3.169925001442312,48.800000000000004
REPALGREEN,Green,Democrat,1.0641930619274924,-61.3
REPMCCAUL,McCaul,Republican,3.169925001442312,9.099999999999994
TXRANDY14,Weber,Republican,1.514501036274285,19.800000000000004
REPGONZALEZ,Gonzalez,Democrat,1.5089356618643954,-16.700000000000003
REPESCOBAR,Escobar,Democrat,-0.061902438925906855,-40.7
REPBILLFLORES,Flores,Republican,4.392317422778761,17.5
JACKSONLEETX18,Jackson Lee,Democrat,0.3851548968843438,-56.5
REPARRINGTON,Arrington,Republican,4.321928094887363,49
JOAQUINCASTROTX,Castro,Democrat,0.05380644369579382,-26.700000000000003
REPCHIPROY,Roy,Republican,2.530570203902528,10
REPPETEOLSON,Olson,Republican,4.523561956057013,7.899999999999999
REPRWILLIAMS,Williams,Republican,6,14.899999999999999
MICHAELCBURGESS,Burgess,Republican,3.7813597135246595,26.5
REPCUELLAR,Cuellar,Democrat,-0.8943219221054628,-19.799999999999997
REPSYLVIAGARCIA,Garcia,Democrat,-1.3547594873547346,-45.699999999999996
REPEBJ,Johnson,Democrat,-0.2898272517203383,-60.8
JUDGECARTER,Carter,Republican,3,12.700000000000003
REPCOLINALLRED,Allred,Democrat,0.45943161863729726,-1.8999999999999986
REPVEASEY,Veasey,Democrat,-2.6989977439671855,-49.2
REPLLOYDDOGGETT,Doggett,Democrat,-2.0709665213541437,-33.599999999999994
REPBRIANBABIN,Babin,Republican,4.672425341971495,46.8
REPCHRISSTEWART,Stewart,Republican,1.1699250014423124,14
REPJOHNCURTIS,Curtis,Republican,2.584962500721156,23.900000000000002
ROBWITTMAN,Wittman,Republican,4.321928094887363,12.399999999999999
REPELAINELURIA,Luria,Democrat,1,3.3999999999999986
